Gene	sgRNA	Rep1|beta	Rep1|z	Rep1|p-value	Rep1|fdr	Rep1|wald-p-value	Rep1|wald-fdr	Rep2|beta	Rep2|z	Rep2|p-value	Rep2|fdr	Rep2|wald-p-value	Rep2|wald-fdr
TBRG1	6	0.29567	1.4132	0.0013045	0.018455	0.1576	0.9996	0.18671	0.88645	0.091555	0.23433	0.37538	0.77902
OR51E2	6	-0.088521	-0.94056	0.36289	0.56918	0.34693	0.9996	0.032647	0.34673	0.75196	0.85	0.7288	0.91212
LPO	6	0.10328	0.37279	0.22819	0.43502	0.7093	0.9996	0.26838	0.96799	0.014446	0.075677	0.33305	0.76676
TBX21	6	0.29603	1.4786	0.0012562	0.018455	0.13926	0.9996	0.0011398	0.0056655	0.96874	0.9815	0.99548	0.99845
OLFM4	6	-0.039714	-0.22406	0.71335	0.84107	0.82271	0.9996	0.37726	2.132	0.00053145	0.0087859	0.033006	0.64072
NUP62CL	6	-0.088914	-0.73744	0.36042	0.56721	0.46086	0.9996	-0.23629	-1.9529	0.048555	0.16059	0.050835	0.64072
SLC10A4	6	0.12789	0.80564	0.14137	0.32507	0.42045	0.9996	-0.14185	-0.89196	0.23712	0.41646	0.37242	0.77783
LCE3B	6	-0.052623	-0.24829	0.6074	0.76926	0.80391	0.9996	0.36931	1.7468	0.00062808	0.0096726	0.080679	0.65665
TMEM209	6	0.25584	1.6851	0.0038651	0.036496	0.091964	0.9996	-0.28153	-1.8291	0.019905	0.091495	0.067387	0.64874
PRAMEF17	5	-0.29915	-1.6691	0.0039134	0.036936	0.095103	0.9996	-0.087561	-0.48856	0.50628	0.66493	0.62516	0.87317
PCYOX1	6	-0.16292	-1.1323	0.08682	0.24532	0.25751	0.9996	0.054949	0.38192	0.60576	0.74451	0.70252	0.90123
PZP	6	0.039856	0.23356	0.61305	0.77292	0.81533	0.9996	0.1757	1.0292	0.1118	0.26416	0.30341	0.75712
NDUFV3	6	-0.012465	-0.070768	0.94521	0.97295	0.94358	0.9996	-0.20269	-1.1434	0.090299	0.23252	0.25285	0.73895
DISP1	6	-0.17933	-0.95567	0.059813	0.19607	0.33924	0.9996	0.16984	0.90905	0.12518	0.28237	0.36332	0.77574
hsa-mir-1297	3	-0.17016	-0.70593	0.20727	0.40919	0.48023	0.9996	0.19095	0.79235	0.21712	0.39504	0.42816	0.80123
SIDT1	6	-0.20074	-1.5876	0.033868	0.13895	0.11238	0.9996	0.10259	0.81123	0.3466	0.52576	0.41723	0.79799
AWAT1	6	-0.26234	-1.5101	0.0060875	0.048294	0.13102	0.9996	0.064607	0.37261	0.54952	0.70236	0.70944	0.90351
FLVCR1	6	-0.26371	-1.9639	0.0059426	0.047527	0.049538	0.9996	-0.12011	-0.89348	0.31597	0.49662	0.3716	0.77783
CDHR2	6	-0.12757	-0.91048	0.1835	0.3795	0.36257	0.9996	0.16989	1.2138	0.12508	0.28224	0.22481	0.73289
TSPAN6	6	-0.21122	-1.1129	0.024495	0.11247	0.26574	0.9996	-0.12513	-0.65651	0.29452	0.47618	0.5115	0.83159
SLC26A11	6	-0.1179	-0.59574	0.22171	0.4278	0.55135	0.9996	-0.45803	-2.2772	0.00028988	0.0056764	0.022774	0.6378
hsa-mir-4710	4	-0.28298	-0.93706	0.015847	0.08564	0.34873	0.9996	-0.24504	-0.80708	0.10214	0.24988	0.41962	0.79843
COL25A1	6	-0.11432	-0.5104	0.23582	0.44365	0.60977	0.9996	0.38999	1.7456	0.00028988	0.0056764	0.080878	0.65665
CPNE9	6	-0.17985	-1.1478	0.058701	0.19434	0.25106	0.9996	0.12691	0.81024	0.24814	0.42779	0.4178	0.79827
RBPJL	6	-0.11782	-0.8213	0.2222	0.42849	0.41148	0.9996	-0.05837	-0.40677	0.63214	0.76416	0.68418	0.89412
ARFGEF2	6	-0.19909	-1.5493	0.035366	0.14305	0.12131	0.9996	-0.17433	-1.3546	0.14547	0.3092	0.17555	0.71482
CDH12	6	0.13258	0.77071	0.12726	0.30735	0.44088	0.9996	0.17343	1.007	0.11745	0.27241	0.31392	0.76172
PPP6R3	6	0.030203	0.19248	0.68978	0.82596	0.84736	0.9996	-0.20625	-1.2996	0.085129	0.22463	0.19375	0.71875
THEG	6	-0.0053886	-0.036451	0.99227	0.99622	0.97092	0.9996	-0.2888	-1.9374	0.016862	0.082292	0.052693	0.64072
CNKSR2	6	-0.024149	-0.14276	0.84622	0.91914	0.88648	0.9996	-0.16536	-0.97536	0.16944	0.3392	0.32938	0.76676
LAMC2	6	0.0046751	0.022545	0.90067	0.94914	0.98201	0.9996	0.30234	1.4605	0.0062325	0.045875	0.14415	0.70541
HRASLS5	6	0.07857	0.40123	0.3524	0.5606	0.68825	0.9996	-0.19709	-1.0021	0.09943	0.24582	0.31627	0.76322
NQO1	6	-0.22113	-1.2564	0.018456	0.093834	0.20896	0.9996	0.22575	1.2855	0.041212	0.14524	0.19863	0.72094
ZBTB6	6	-0.14054	-0.8195	0.14079	0.32446	0.4125	0.9996	0.0097795	0.056952	0.90898	0.94905	0.95458	0.9878
SPAG8	6	-0.027901	-0.18072	0.81259	0.89984	0.85658	0.9996	-0.23146	-1.4875	0.053145	0.16915	0.13689	0.70378
ICAM5	6	-0.26302	-1.4177	0.0059426	0.047527	0.15629	0.9996	0.13341	0.7225	0.22447	0.40351	0.46999	0.81697
CABLES2	6	-0.085857	-0.43414	0.37815	0.58237	0.66418	0.9996	0.023538	0.11882	0.81447	0.89054	0.90542	0.97325
ASNS	6	0.0054551	0.016597	0.8939	0.94601	0.98676	0.9996	0.016807	0.050639	0.85926	0.91803	0.95961	0.98891
hsa-mir-1289-2	4	-0.024995	-0.08581	0.87197	0.93392	0.93162	0.9996	0.14856	0.50959	0.2693	0.44992	0.61034	0.86825
hsa-mir-3154	4	-0.069376	-0.2077	0.57392	0.74472	0.83547	0.9996	0.21581	0.64739	0.10779	0.25852	0.51738	0.83309
LATS1	6	0.17219	0.7336	0.05015	0.17786	0.46319	0.9996	0.42939	1.832	0.00014494	0.0037406	0.066948	0.64874
MTF2	5	0.15434	0.73476	0.10851	0.27849	0.46248	0.9996	0.13868	0.65944	0.25114	0.43101	0.50961	0.83081
LECT2	6	-0.11266	-0.65835	0.24263	0.45142	0.51032	0.9996	-0.20224	-1.1724	0.090685	0.23302	0.24102	0.73367
KBTBD2	6	-0.05302	-0.36887	0.6047	0.76752	0.71223	0.9996	0.056734	0.39468	0.59499	0.73615	0.69308	0.89791
CASP9	6	0.29039	1.7755	0.0014011	0.019205	0.075812	0.9996	0.025235	0.15421	0.80225	0.88255	0.87744	0.96422
PTRH1	6	-0.044118	-0.20274	0.67673	0.81721	0.83934	0.9996	0.10006	0.4593	0.35728	0.53614	0.64602	0.87992
FAM180A	6	0.080097	0.50477	0.34337	0.55226	0.61372	0.9996	-0.1264	-0.79391	0.29027	0.47192	0.42725	0.80103
HIST1H3J	6	-0.33928	-1.5576	0.0003382	0.0080092	0.11934	0.9996	-0.025474	-0.11718	0.84598	0.90956	0.90672	0.97346
NPB	6	0.074731	0.24545	0.37487	0.57978	0.80611	0.9996	0.34838	1.1468	0.0011595	0.014414	0.25145	0.73848
CTNND2	6	0.37442	1.2344	0.00014494	0.0052539	0.21707	0.9996	0.21631	0.69726	0.050681	0.16434	0.48564	0.82286
VDAC3	6	0.086579	0.35346	0.3096	0.52221	0.72374	0.9996	0.28401	1.159	0.0094695	0.058438	0.24645	0.73694
COX4I1	6	0.21558	0.76722	0.014784	0.081644	0.44295	0.9996	0.10409	0.36878	0.33979	0.51935	0.71229	0.90542
ACTR1B	6	0.10877	0.455	0.20625	0.40774	0.64911	0.9996	-0.24016	-0.99327	0.046043	0.15564	0.32058	0.76366
LRRC47	6	-0.32039	-1.9343	0.00067639	0.012556	0.053079	0.9996	-0.22815	-1.3758	0.05701	0.17675	0.16888	0.71258
MZT1	6	-0.062332	-0.16983	0.53363	0.7141	0.86515	0.9996	0.38669	1.0638	0.00038651	0.0069991	0.28743	0.75045
GRIPAP1	6	-0.12137	-0.70082	0.20814	0.41056	0.48342	0.9996	-0.16477	-0.94922	0.17098	0.34108	0.34251	0.77104
GFRA3	6	-0.24664	-1.3196	0.0092279	0.06248	0.18697	0.9996	-0.13653	-0.72908	0.25413	0.43421	0.46595	0.81466
hsa-mir-4280	4	0.15726	0.84994	0.14098	0.32466	0.39536	0.9996	0.0040397	0.021631	0.95845	0.97623	0.98274	0.99518
TLR2	6	0.036265	0.31633	0.64132	0.79196	0.75175	0.9996	-0.24575	-2.1444	0.042178	0.14734	0.032001	0.64072
PPRC1	6	-0.15724	-0.87209	0.097787	0.26163	0.38316	0.9996	-0.064491	-0.35711	0.59614	0.73696	0.72101	0.90929
FAM109B	6	0.22764	1.2211	0.010484	0.0671	0.22206	0.9996	0.086118	0.46058	0.4298	0.60068	0.6451	0.8793
hsa-mir-3192	4	0.24317	1.2049	0.027732	0.1221	0.22822	0.9996	-0.053594	-0.26454	0.72838	0.83436	0.79136	0.93582
TSC22D4	6	-0.028618	-0.20303	0.80563	0.89564	0.83911	0.9996	-0.25745	-1.8141	0.033626	0.1265	0.069659	0.65162
TIAL1	6	0.05507	0.27572	0.50353	0.68963	0.78277	0.9996	0.27077	1.3558	0.013528	0.072258	0.17516	0.71482
KLHL38	6	0.10165	0.72111	0.23582	0.44365	0.47084	0.9996	0.055149	0.39114	0.6046	0.7436	0.6957	0.89885
CA10	6	0.33351	1.5939	0.00048314	0.0097466	0.11095	0.9996	0.018223	0.086892	0.84887	0.91093	0.93076	0.98075
BSDC1	6	0.2553	1.7131	0.0039617	0.037205	0.086689	0.9996	0.30312	2.0337	0.0060392	0.044803	0.041977	0.64072
HNRNPUL1	6	0.14218	0.91173	0.10291	0.26986	0.36191	0.9996	0.083533	0.53383	0.44241	0.611	0.59346	0.86042
USHBP1	6	-0.33499	-1.6236	0.0003382	0.0080092	0.10446	0.9996	-0.30053	-1.4512	0.013769	0.073171	0.14672	0.70541
RBPMS	6	-0.16989	-1.0718	0.073872	0.22331	0.28383	0.9996	-0.20167	-1.2691	0.091603	0.23433	0.2044	0.72446
PTRH2	6	0.037527	0.25481	0.6317	0.78618	0.79887	0.9996	0.051666	0.35023	0.62562	0.75956	0.72617	0.91104
UBE4A	6	-0.042877	-0.15526	0.68717	0.82411	0.87662	0.9996	-0.26132	-0.93394	0.031017	0.12045	0.35034	0.77372
NEURL1B	6	0.27939	1.2938	0.0019809	0.02416	0.19574	0.9996	0.27756	1.2813	0.011016	0.063333	0.20008	0.7216
EVA1B	6	0.020077	0.11984	0.77123	0.87564	0.90461	0.9996	0.19955	1.1908	0.071553	0.20257	0.23375	0.73289
SUSD1	6	-0.048393	-0.27571	0.64185	0.79233	0.78277	0.9996	-0.2167	-1.2255	0.070248	0.20025	0.22039	0.73175
SET	6	0.12365	0.68318	0.15315	0.34068	0.49449	0.9996	-0.036284	-0.19909	0.77457	0.86524	0.84219	0.9526
ADC	6	0.13662	0.86444	0.11673	0.29115	0.38735	0.9996	0.19161	1.2116	0.082858	0.22106	0.22567	0.73289
DHX58	6	0.23686	1.0296	0.0077302	0.056677	0.30321	0.9996	-0.06405	-0.27667	0.59871	0.73885	0.78203	0.93295
hsa-mir-664a	4	-0.18518	-1.1031	0.11136	0.28296	0.26996	0.9996	0.013688	0.081533	0.90323	0.94534	0.93502	0.98204
ZNF829	6	-0.015121	-0.11095	0.92275	0.96081	0.91165	0.9996	-0.088267	-0.64391	0.46217	0.62789	0.51963	0.83426
RP1L1	6	-0.49331	-2.4339	0	0	0.014938	0.9996	-0.10919	-0.54075	0.36347	0.54169	0.58868	0.85818
MAP2K1	6	0.18793	0.83051	0.033047	0.13724	0.40625	0.9996	0.25463	1.1231	0.02092	0.094894	0.2614	0.74363
GINS2	6	-0.18528	-0.85515	0.051792	0.1805	0.39247	0.9996	0.034223	0.15799	0.74031	0.84239	0.87446	0.96316
PGBD4	6	-0.11853	-0.73108	0.21944	0.42461	0.46473	0.9996	-0.085241	-0.52455	0.47729	0.64062	0.59989	0.8629
NXPE4	6	-0.054374	-0.41775	0.59383	0.76025	0.67613	0.9996	0.14768	1.1346	0.18069	0.35329	0.25653	0.74034
CLPB	6	-0.17688	-0.51594	0.063436	0.20335	0.6059	0.9996	-0.23918	-0.68453	0.046719	0.15673	0.49364	0.82545
GJA1	6	0.070865	0.27373	0.39956	0.60145	0.78429	0.9996	0.10229	0.39381	0.3481	0.52722	0.69372	0.89791
KIAA1279	6	0.2626	1.3958	0.003237	0.032011	0.16277	0.9996	0.23351	1.2381	0.034448	0.12863	0.21566	0.72999
EMP3	6	-0.14955	-0.92543	0.11764	0.29246	0.35474	0.9996	-0.080415	-0.49572	0.50343	0.6631	0.62009	0.87094
CLDN12	6	0.00089452	0.0065285	0.93574	0.96787	0.99479	0.9996	0.11308	0.82424	0.3022	0.48294	0.4098	0.79534
HIST1H2BF	6	0.068433	0.27398	0.41371	0.6141	0.7841	0.9996	0.062787	0.25033	0.5601	0.71049	0.80233	0.93945
BST2	6	0.243	1.3553	0.0063291	0.049753	0.17531	0.9996	0.11239	0.62498	0.30486	0.48546	0.53199	0.83777
DCLK2	6	-0.062966	-0.244	0.52899	0.7106	0.80723	0.9996	0.50701	1.9829	0	0	0.04738	0.64072
hsa-mir-6507	4	-0.33341	-0.65404	0.0047831	0.041544	0.51308	0.9996	0.54372	1.099	4.83E-05	0.0020576	0.27176	0.74543
OR5D13	6	0.34131	1.6224	0.0003382	0.0080092	0.10472	0.9996	0.30356	1.4362	0.0059909	0.044685	0.15094	0.7059
POLR2B	6	0.098105	0.71169	0.25234	0.46189	0.47666	0.9996	0.16387	1.1823	0.13866	0.3004	0.23709	0.73289
C9orf3	6	-0.00084162	-0.0046574	0.95285	0.97789	0.99628	0.9996	-0.18543	-1.0096	0.12064	0.27717	0.3127	0.76102
MED23	6	0.083863	0.36165	0.32472	0.53489	0.71761	0.9996	-0.54407	-2.2997	9.66E-05	0.0033389	0.021463	0.6378
PRMT2	6	-0.041039	-0.23684	0.70326	0.83513	0.81278	0.9996	0.2679	1.5471	0.014591	0.076013	0.12183	0.69315
RPL13A	6	0.11383	0.30575	0.18707	0.38405	0.7598	0.9996	0.86063	2.323	0	0	0.020178	0.6378
SLMO1	6	0.014601	0.061735	0.81597	0.9018	0.95077	0.9996	0.22317	0.94358	0.043772	0.15103	0.34538	0.77217
C2orf80	6	0.12192	1.0178	0.15866	0.34836	0.30876	0.9996	-0.1337	-1.1127	0.26476	0.44539	0.26582	0.74484
TMEM257	6	0.17903	1.3489	0.041115	0.15684	0.17738	0.9996	-0.1092	-0.82008	0.36337	0.54162	0.41217	0.79654
WDPCP	6	-0.098719	-0.3079	0.31037	0.52296	0.75816	0.9996	-0.06026	-0.18681	0.61996	0.75536	0.85181	0.95497
FGL2	6	-0.081281	-0.46578	0.40477	0.60565	0.64137	0.9996	-0.16338	-0.92929	0.17441	0.34565	0.35274	0.77374
CPT1C	6	0.17903	0.68415	0.041115	0.15684	0.49388	0.9996	0.45405	1.7363	4.83E-05	0.0020576	0.082508	0.65665
EHBP1L1	6	0.18228	0.72	0.038216	0.14987	0.47153	0.9996	-0.13547	-0.52908	0.25824	0.43837	0.59675	0.86143
GTF2B	6	0.053114	0.28722	0.51619	0.70041	0.77394	0.9996	0.35528	1.9218	0.00091796	0.012203	0.054635	0.64215
DDB2	6	-0.045636	-0.26858	0.66465	0.80876	0.78825	0.9996	0.22286	1.3119	0.044111	0.15176	0.18954	0.71622
FOXA1	6	-0.20408	-1.3753	0.030486	0.13059	0.16904	0.9996	0.31536	2.1318	0.0038168	0.033179	0.033025	0.64072
TIA1	6	-0.25878	-1.5474	0.0070538	0.053382	0.12176	0.9996	0.028402	0.17009	0.78027	0.86875	0.86494	0.96054
NR1D2	6	-0.014145	-0.10306	0.93057	0.96483	0.91792	0.9996	-0.23966	-1.7329	0.046333	0.15611	0.08312	0.65718
POLD3	6	-0.060206	-0.30039	0.54976	0.72654	0.76388	0.9996	0.28198	1.4092	0.010049	0.060237	0.15877	0.7059
TCF15	6	-0.1315	-1.0159	0.16944	0.36203	0.30967	0.9996	-0.21034	-1.6173	0.079428	0.21563	0.10581	0.68142
PPP1R35	6	0.1011	0.47055	0.23833	0.44651	0.63796	0.9996	0.17328	0.80333	0.11779	0.27307	0.42178	0.79895
ARHGEF19	6	-0.051575	-0.25966	0.61595	0.77497	0.79512	0.9996	-0.32842	-1.6308	0.0072471	0.049375	0.10293	0.67914
CSTL1	6	-0.11717	-0.63639	0.22485	0.43186	0.52452	0.9996	0.22078	1.1983	0.046333	0.15611	0.23081	0.73289
PKNOX1	6	0.17985	1.1082	0.040632	0.15594	0.26777	0.9996	0.018982	0.11699	0.84424	0.9085	0.90687	0.97346
10-Mar	6	0.011748	0.072759	0.83955	0.91549	0.942	0.9996	0.015035	0.092985	0.87182	0.92591	0.92592	0.97904
EDN3	6	0.11656	0.82903	0.17707	0.37197	0.40709	0.9996	0.01894	0.13352	0.84433	0.90855	0.89378	0.96954
TM2D3	6	0.074895	0.35253	0.37385	0.5791	0.72444	0.9996	0.19409	0.91277	0.079186	0.21523	0.36136	0.77549
XKRY	6	0.073206	0.75315	0.38443	0.58806	0.45136	0.9996	-0.053253	-0.5483	0.66359	0.7881	0.58349	0.85616
OR1L8	6	0.227	1.4596	0.010726	0.068161	0.1444	0.9996	0.12592	0.80765	0.25172	0.43165	0.41929	0.79833
BHLHA15	6	0.15899	0.90214	0.0702	0.21693	0.36698	0.9996	0.080278	0.45264	0.45942	0.62543	0.65081	0.88192
FGD5	6	-0.058194	-0.40782	0.5644	0.73769	0.68341	0.9996	0.21479	1.506	0.052469	0.16788	0.13206	0.70145
ZNF71	6	0.1232	0.95243	0.15436	0.342	0.34088	0.9996	0.1945	1.5019	0.078655	0.21455	0.13312	0.70213
C10orf32	6	0.28703	1.8394	0.0015944	0.021073	0.065856	0.9996	0.071577	0.45612	0.50821	0.66677	0.6483	0.88008
ERCC6L	6	-0.43211	-1.5062	4.83E-05	0.0022779	0.13202	0.9996	-0.069719	-0.24442	0.56489	0.7141	0.8069	0.94103
SPANXD	3	-0.086244	-0.60387	0.54247	0.72127	0.54593	0.9996	0.073414	0.514	0.62479	0.75879	0.60725	0.8667
PKIA	6	0.18857	0.95992	0.032274	0.13517	0.3371	0.9996	-0.053067	-0.26752	0.66441	0.78844	0.78907	0.93522
ALG6	6	0.064862	0.36922	0.43758	0.63411	0.71196	0.9996	0.33865	1.9281	0.0014977	0.017099	0.053837	0.64131
CITED4	6	0.035955	0.19106	0.64378	0.7937	0.84848	0.9996	0.46894	2.4981	4.83E-05	0.0020576	0.012485	0.62268
RNF213	6	-0.034764	-0.21311	0.75408	0.86543	0.83124	0.9996	0.29438	1.808	0.0071988	0.049272	0.070607	0.65162
NUDT9	6	-0.13956	-0.75949	0.14373	0.32833	0.44756	0.9996	-0.063672	-0.34578	0.60175	0.74128	0.72951	0.91212
NAB1	6	0.11824	0.50392	0.17113	0.36439	0.61432	0.9996	0.3871	1.6502	0.00038651	0.0069991	0.098911	0.67373
DEFA5	6	-0.18499	-1.1755	0.052276	0.18164	0.23981	0.9996	0.072646	0.46182	0.50164	0.6618	0.64421	0.8793
ZNF567	6	-0.27674	-1.5619	0.0040584	0.037787	0.11831	0.9996	-0.087052	-0.49117	0.46802	0.63283	0.62331	0.8723
PPM1E	6	0.20547	0.74639	0.019712	0.098337	0.45543	0.9996	0.13645	0.49248	0.21447	0.39224	0.62238	0.87187
SLC25A53	6	0.04505	0.25206	0.57479	0.74529	0.801	0.9996	0.14793	0.82689	0.18011	0.35263	0.4083	0.79471
C19orf82	6	-0.047728	-0.35499	0.64726	0.79611	0.7226	0.9996	0.063676	0.47256	0.55493	0.70648	0.63652	0.87682
RCL1	6	0.092796	0.4797	0.27872	0.4909	0.63144	0.9996	-0.14768	-0.75041	0.21833	0.39656	0.45301	0.81146
C15orf38	4	0.37896	1.4515	0.00082134	0.014655	0.14665	0.9996	0.023052	0.08841	0.84796	0.91032	0.92955	0.98052
MADCAM1	6	0.13138	0.46225	0.13045	0.31081	0.6439	0.9996	0.38746	1.364	0.00038651	0.0069991	0.17256	0.71445
ACAN	6	0.057406	0.3002	0.48749	0.67652	0.76402	0.9996	-0.36069	-1.861	0.0038651	0.033417	0.062745	0.64709
XRCC3	6	0.11095	0.71854	0.19823	0.39847	0.47242	0.9996	0.21647	1.4004	0.050343	0.16355	0.1614	0.7066
C17orf53	6	0.088401	0.51058	0.30114	0.51444	0.60965	0.9996	0.26348	1.5216	0.016089	0.080106	0.12812	0.69901
PHB	6	0.20368	0.61187	0.020968	0.10267	0.54062	0.9996	0.35195	1.0562	0.0010146	0.013117	0.29086	0.75172
POU3F3	6	0.14166	1.1355	0.10421	0.27161	0.25617	0.9996	-0.094859	-0.75877	0.4284	0.59932	0.44799	0.80977
LOC402160	6	0.30132	1.3896	0.0011595	0.017817	0.16464	0.9996	0.17512	0.80128	0.11315	0.26605	0.42297	0.79982
C10orf55	5	0.21755	1.1788	0.026766	0.11924	0.23846	0.9996	-0.024801	-0.13396	0.86409	0.92067	0.89344	0.96941
YTHDF1	6	0.04492	0.30392	0.57566	0.74576	0.76119	0.9996	0.18749	1.2682	0.08967	0.23145	0.20473	0.72462
MX2	6	0.11007	0.42148	0.20157	0.40256	0.6734	0.9996	-0.1416	-0.53219	0.23775	0.41714	0.5946	0.86104
CDS1	6	-0.089748	-0.4798	0.35569	0.56336	0.63137	0.9996	-0.012548	-0.066848	0.93526	0.96333	0.9467	0.98584
ABCF3	6	-0.22618	-1.4903	0.01604	0.086436	0.13616	0.9996	0.040782	0.26881	0.69528	0.81099	0.78808	0.93482
VANGL2	6	0.0063625	0.023733	0.88535	0.94168	0.98107	0.9996	0.19948	0.74404	0.071601	0.20265	0.45685	0.81229
PLA2G4D	6	-0.1493	-0.87693	0.11827	0.29348	0.38052	0.9996	-0.59055	-3.437	4.83E-05	0.0020576	0.00058809	0.34474
TSPYL4	6	-0.079344	-0.5224	0.41724	0.61733	0.60139	0.9996	0.356	2.3456	0.00091796	0.012203	0.018997	0.6378
FBXO43	6	0.0048553	0.025095	0.89898	0.94827	0.97998	0.9996	-0.18153	-0.93383	0.12861	0.28667	0.35039	0.77372
TECRL	6	-0.01481	-0.0924	0.92531	0.96251	0.92638	0.9996	0.14892	0.9292	0.17702	0.34852	0.35279	0.77376
GPR97	6	0.045891	0.2458	0.56846	0.74084	0.80584	0.9996	0.1188	0.6353	0.27906	0.46053	0.52523	0.83588
ANKRD34B	6	0.12752	1.009	0.14233	0.32668	0.31295	0.9996	0.085429	0.67485	0.43338	0.60359	0.49977	0.82632
AVPR1B	6	-0.31191	-1.3596	0.00091796	0.01536	0.17397	0.9996	-0.15998	-0.69721	0.18379	0.35712	0.48567	0.82286
hsa-mir-6126	4	-0.17264	-0.7727	0.13745	0.32027	0.4397	0.9996	0.21733	0.97432	0.10537	0.255	0.3299	0.76676
KCTD2	6	0.015649	0.099516	0.80781	0.89724	0.92073	0.9996	-0.019107	-0.12051	0.88888	0.93652	0.90408	0.97285
hsa-mir-606	4	-0.18543	-0.72349	0.11078	0.2819	0.46938	0.9996	-0.59961	-2.2883	0.00028988	0.0056764	0.022119	0.6378
ZNF630	6	-0.13201	-0.77642	0.1677	0.35943	0.4375	0.9996	-0.097954	-0.57556	0.41357	0.58622	0.56491	0.84977
LINGO1	6	0.1134	0.68597	0.18886	0.38653	0.49273	0.9996	0.22959	1.3875	0.037202	0.13521	0.16529	0.7102
PIAS1	6	-0.23027	-1.5089	0.013721	0.078129	0.13131	0.9996	-0.28241	-1.8453	0.019567	0.090523	0.064993	0.64709
KDM6B	6	-0.21465	-0.8072	0.022659	0.10732	0.41955	0.9996	0.058635	0.22089	0.58305	0.72773	0.82518	0.94641
hsa-mir-508	4	0.23359	1.0925	0.033868	0.13895	0.27462	0.9996	-0.31795	-1.4826	0.036139	0.13286	0.13818	0.70378
LPPR3	6	0.21242	1.3382	0.016233	0.086945	0.18083	0.9996	0.15296	0.9629	0.16663	0.33557	0.3356	0.76806
ROBO2	6	0.12377	0.77051	0.15253	0.33954	0.441	0.9996	0.064091	0.39813	0.55247	0.70421	0.69053	0.89692
RAD51	6	-0.031444	-0.16142	0.78302	0.88259	0.87176	0.9996	0.33237	1.7095	0.0017876	0.019112	0.087363	0.66115
PSMB6	6	-0.22546	-1.1809	0.016427	0.087269	0.23763	0.9996	0.16521	0.86958	0.13581	0.29655	0.38453	0.78148
TECR	6	0.196	1.149	0.025896	0.11647	0.25055	0.9996	0.33287	1.9468	0.0017393	0.018643	0.051559	0.64072
TM4SF4	6	0.043363	0.239	0.58754	0.75525	0.81111	0.9996	0.18158	0.99954	0.099285	0.24561	0.31753	0.76326
B3GNT8	6	-0.09695	-0.42461	0.31839	0.53017	0.67112	0.9996	0.011193	0.048986	0.89965	0.9435	0.96093	0.98937
DRC1	6	-0.23991	-1.2096	0.010726	0.068161	0.22644	0.9996	0.1726	0.87559	0.11929	0.27547	0.38125	0.78085
FAM71B	6	-0.076325	-0.42884	0.43569	0.632	0.66804	0.9996	0.34942	1.9681	0.0011112	0.01405	0.049059	0.64072
XRN1	6	-0.064612	-0.33045	0.51648	0.70057	0.74106	0.9996	-0.13335	-0.67829	0.26592	0.44658	0.49758	0.82614
MTERFD3	6	-0.15922	-1.3312	0.093536	0.25533	0.18311	0.9996	-0.0050472	-0.042202	0.98792	0.99248	0.96634	0.99058
OR5M3	6	0.11741	0.71938	0.17388	0.36787	0.47191	0.9996	0.024386	0.1492	0.80824	0.88649	0.8814	0.96531
RNASE13	6	-0.30719	-1.6071	0.0011595	0.017817	0.10804	0.9996	-0.24514	-1.2784	0.042516	0.1481	0.20111	0.72214
GRHL1	6	-0.12689	-0.91648	0.18567	0.38212	0.35942	0.9996	-0.11863	-0.8551	0.3224	0.50267	0.39249	0.78655
ZNF480	6	-0.10914	-0.41427	0.25916	0.46962	0.67868	0.9996	-0.0047797	-0.018106	0.99005	0.99389	0.98555	0.99604
RAPGEF4	6	-0.23537	-1.3899	0.012127	0.072838	0.16456	0.9996	-0.18608	-1.0984	0.11929	0.27547	0.27202	0.74543
SREK1IP1	6	0.080158	0.37143	0.34312	0.55213	0.71032	0.9996	-0.19677	-0.90843	0.099768	0.24616	0.36365	0.77574
TMLHE	6	0.036833	0.21968	0.63736	0.79024	0.82612	0.9996	-0.065237	-0.38666	0.59136	0.73329	0.69901	0.89976
hsa-mir-4437	4	-0.051689	-0.22022	0.69195	0.8274	0.8257	0.9996	-0.47854	-2.029	0.0021741	0.022167	0.042453	0.64072
ZNF574	6	-0.15411	-0.6782	0.10561	0.2739	0.49764	0.9996	0.053846	0.23695	0.61291	0.7499	0.8127	0.94258
TRIB1	6	0.093848	0.49144	0.27384	0.48623	0.62312	0.9996	-0.26409	-1.3724	0.029713	0.11752	0.16995	0.71375
MTAP	6	-0.0024199	-0.0094437	0.96637	0.98561	0.99247	0.9996	0.10828	0.42187	0.32172	0.50207	0.67312	0.89049
HRG	6	0.020478	0.092023	0.76776	0.8738	0.92668	0.9996	0.093921	0.42063	0.38873	0.56443	0.67403	0.89067
BMP2K	6	0.038037	0.19036	0.62798	0.78339	0.84902	0.9996	-0.34321	-1.6981	0.0057977	0.044101	0.089486	0.66258
SUCNR1	6	-0.13999	-1.0129	0.14262	0.32716	0.31113	0.9996	0.026166	0.18921	0.79568	0.87858	0.84993	0.95418
WSB2	6	0.12042	0.85298	0.16374	0.35457	0.39367	0.9996	-0.16825	-1.1818	0.16084	0.32772	0.23729	0.73289
ROPN1B	5	0.12141	0.43822	0.20132	0.40234	0.66122	0.9996	-0.30475	-1.0792	0.024254	0.10398	0.28048	0.74835
